TP;NG;TC;TM;IG;SOMA_GANHO;MEDIA_PRIORIDADE;GANHO_MEDIO_FORMULA
10;50;0.2;0.2;0.1;2617;130.85;13085
10;100;0.2;0.2;0.1;2617;130.85;13085
10;200;0.2;0.2;0.1;2617;130.85;13085
10;200;0.2;0.2;0.7;2617;130.85;13085
10;200;0.5;0.2;0.1;2617;130.85;13085
10;200;0.5;0.2;0.7;2617;130.85;13085
50;50;0.2;0.2;0.1;2617;130.85;13085
50;50;0.5;0.2;0.1;2617;130.85;13085
50;50;0.8;0.2;0.1;2617;130.85;13085
50;50;0.8;0.2;0.7;2617;130.85;13085
50;100;0.2;0.2;0;2617;130.85;13085
50;100;0.2;0.2;0.1;2617;130.85;13085
50;100;0.5;0.2;0.1;2617;130.85;13085
50;100;0.5;0.2;0.7;2617;130.85;13085
50;100;0.8;0.2;0.1;2617;130.85;13085
50;100;0.8;0.2;0.7;2617;130.85;13085
50;200;0.2;0.2;0;2617;130.85;13085
50;200;0.2;0.2;0.1;2617;130.85;13085
50;200;0.2;0.2;0.7;2617;130.85;13085
50;200;0.5;0.2;0;2617;130.85;13085
50;200;0.5;0.2;0.1;2617;130.85;13085
50;200;0.5;0.2;0.7;2617;130.85;13085
50;200;0.8;0.2;0;2617;130.85;13085
50;200;0.8;0.2;0.1;2617;130.85;13085
50;200;0.8;0.2;0.7;2617;130.85;13085
100;10;0.5;0.2;0;2617;130.85;13085
100;50;0.2;0.2;0;2617;130.85;13085
100;50;0.2;0.2;0.1;2617;130.85;13085
100;50;0.2;0.2;0.7;2617;130.85;13085
100;50;0.5;0.2;0.1;2617;130.85;13085
100;50;0.5;0.2;0.7;2617;130.85;13085
100;50;0.8;0.2;0;2617;130.85;13085
100;50;0.8;0.2;0.1;2617;130.85;13085
100;50;0.8;0.2;0.7;2617;130.85;13085
100;100;0.2;0.2;0;2617;130.85;13085
100;100;0.2;0.2;0.1;2617;130.85;13085
100;100;0.2;0.2;0.7;2617;130.85;13085
100;100;0.5;0.2;0;2617;130.85;13085
100;100;0.5;0.2;0.1;2617;130.85;13085
100;100;0.5;0.2;0.7;2617;130.85;13085
100;100;0.8;0.2;0;2617;130.85;13085
100;100;0.8;0.2;0.1;2617;130.85;13085
100;100;0.8;0.2;0.7;2617;130.85;13085
100;200;0.2;0.2;0;2617;130.85;13085
100;200;0.2;0.2;0.1;2617;130.85;13085
100;200;0.2;0.2;0.7;2617;130.85;13085
100;200;0.5;0.2;0;2617;130.85;13085
100;200;0.5;0.2;0.1;2617;130.85;13085
100;200;0.5;0.2;0.7;2617;130.85;13085
100;200;0.8;0.2;0;2617;130.85;13085
100;200;0.8;0.2;0.1;2617;130.85;13085
100;200;0.8;0.2;0.7;2617;130.85;13085
50;50;0.2;0.2;0.7;2616;130.8;13080
50;100;0.5;0.2;0;2616;130.8;13080
100;10;0.5;0.2;0.1;2616;130.8;13080
10;100;0.5;0.2;0;2615;130.75;13075
10;100;0.8;0.2;0;2615;130.75;13075
10;100;0.8;0.2;0.1;2615;130.75;13075
10;200;0.2;0.2;0;2615;130.75;13075
10;200;0.5;0.2;0;2615;130.75;13075
10;200;0.8;0.2;0;2615;130.75;13075
10;200;0.8;0.2;0.1;2615;130.75;13075
50;10;0.8;0.2;0.1;2615;130.75;13075
50;50;0.2;0.2;0;2615;130.75;13075
50;50;0.5;0.2;0;2615;130.75;13075
50;50;0.5;0.2;0.7;2615;130.75;13075
50;50;0.8;0.2;0;2615;130.75;13075
50;100;0.2;0.2;0.7;2615;130.75;13075
50;100;0.2;0.8;0.1;2615;130.75;13075
50;100;0.8;0.2;0;2615;130.75;13075
50;100;0.8;0.8;0;2615;130.75;13075
50;200;0.2;0.8;0;2615;130.75;13075
50;200;0.5;0.8;0.1;2615;130.75;13075
50;200;0.8;0.8;0.1;2615;130.75;13075
100;10;0.8;0;0;2615;130.75;13075
100;50;0.5;0.2;0;2615;130.75;13075
100;100;0.8;0.8;0;2615;130.75;13075
100;200;0.2;0.8;0;2615;130.75;13075
100;200;0.2;0.8;0.1;2615;130.75;13075
